loc_pair,route,type,intersection,dist,abs_diff
01 18,01 18 driving,driving,01,0.5786662521634737,0.12990637784990622
01 18,01 18 walking,walking,01,0.44875987431356745,0
01 19,01 19 driving,driving,01,0.9787459568995571,0.2585006728368979
01 19,01 19 walking,walking,01,0.7202452840626592,0
01 20,01 20 driving,driving,01,0.7021232612511664,0.10474408092775989
01 20,01 20 walking,walking,01,0.5973791803234065,0
01 21,01 21 driving,driving,01,1.1939143080916348,0.34980729546875156
01 21,01 21 walking,walking,01,0.8441070126228832,0
01 22,01 22 driving,driving,01,0.7766268698353772,0
01 22,01 22 walking,walking,01,0.8298272684343555,0.053200398598978293
01 23,01 23 driving,driving,01,0.8226574535606258,0.012851411940595803
01 23,01 23 walking,walking,01,0.80980604162003,0
01 24,01 24 driving,driving,01,1.2724738683168872,0.3400563700739204
01 24,01 24 walking,walking,01,0.9324174982429668,0
01 25,01 25 driving,driving,01,0.8411549203137864,0.032482627583965695
01 25,01 25 walking,walking,01,0.8086722927298207,0
01 26,01 26 driving,driving,01,1.246104523922805,0.41280726882245655
01 26,01 26 walking,walking,01,0.8332972551003485,0
01 27,01 27 driving,driving,01,0.688612429118951,0
01 27,01 27 walking,walking,01,0.7139177860403639,0.02530535692141289
01 28,01 28 driving,driving,01,0.5644745105915219,0.03750514104497349
01 28,01 28 walking,walking,01,0.5269693695465484,0
01 29,01 29 driving,driving,01,1.3576576980616775,0.5854813289226929
01 29,01 29 walking,walking,01,0.7721763691389846,0
01 30,01 30 driving,driving,01,1.0723773438149922,0.029529970553606733
01 30,01 30 walking,walking,01,1.0428473732613854,0
01 31,01 31 driving,driving,01,1.1584713480036177,0.19872971632128855
01 31,01 31 walking,walking,01,0.9597416316823292,0
01 32,01 32 driving,driving,01,1.2454467910668254,0.24461574823919352
01 32,01 32 walking,walking,01,1.000831042827632,0
02 01,02 01 driving,driving,02,0.5772275058812504,0.0511149495810832
02 01,02 01 walking,walking,02,0.5261125563001672,0
02 02,02 02 driving,driving,02,0.6248231457832427,0.05278482286307851
02 02,02 02 walking,walking,02,0.5720383229201642,0
02 03,02 03 driving,driving,02,0.9281210193429937,0.26010858172243256
02 03,02 03 walking,walking,02,0.6680124376205612,0
02 04,02 04 driving,driving,02,0.9216981606867578,0.24291507024552628
02 04,02 04 walking,walking,02,0.6787830904412315,0
02 05,02 05 driving,driving,02,1.0006363213737477,0.3844137828601403
02 05,02 05 walking,walking,02,0.6162225385136074,0
02 06,02 06 driving,driving,02,0.6753742177262441,0.11700903252579553
02 06,02 06 walking,walking,02,0.5583651852004485,0
02 07,02 07 driving,driving,02,0.6542440428621012,0.20483553650763658
02 07,02 07 walking,walking,02,0.44940850635446467,0
