lat,lon,loc_pair,route,type,intersection,centroid,ord
39.955299377441406,-75.20491027832031,01 01,01 01 driving,driving,01,01,1
39.95594024658203,-75.20478057861328,01 01,01 01 driving,driving,01,01,2
39.95589828491211,-75.2044677734375,01 01,01 01 driving,driving,01,01,3
39.955657958984375,-75.20250701904297,01 01,01 01 driving,driving,01,01,4
39.95560836791992,-75.20208740234375,01 01,01 01 driving,driving,01,01,5
39.955509185791016,-75.20127868652344,01 01,01 01 driving,driving,01,01,6
39.95549011230469,-75.20101165771484,01 01,01 01 driving,driving,01,01,7
39.955387115478516,-75.200164794921875,01 01,01 01 driving,driving,01,01,8
39.955169677734375,-75.19844818115234,01 01,01 01 driving,driving,01,01,9
39.954917907714844,-75.19645690917969,01 01,01 01 driving,driving,01,01,10
39.95452880859375,-75.19654083251953,01 01,01 01 driving,driving,01,01,11
39.95446014404297,-75.205078125,02 01,02 01 driving,driving,02,01,1
39.95594024658203,-75.20478057861328,02 01,02 01 driving,driving,02,01,2
39.9556999206543,-75.202850341796875,02 01,02 01 driving,driving,02,01,3
39.95563888549805,-75.20225524902344,02 01,02 01 driving,driving,02,01,4
39.95555877685547,-75.20169830322266,02 01,02 01 driving,driving,02,01,5
39.95549011230469,-75.20112609863281,02 01,02 01 driving,driving,02,01,6
39.955448150634766,-75.20069885253906,02 01,02 01 driving,driving,02,01,7
39.955230712890625,-75.19898986816406,02 01,02 01 driving,driving,02,01,8
39.95507049560547,-75.19771575927734,02 01,02 01 driving,driving,02,01,9
39.954917907714844,-75.19645690917969,02 01,02 01 driving,driving,02,01,10
39.95481872558594,-75.19647979736328,02 01,02 01 driving,driving,02,01,11
39.95452880859375,-75.19654083251953,02 01,02 01 driving,driving,02,01,12
39.95323944091797,-75.20533752441406,03 01,03 01 driving,driving,03,01,1
39.95410919189453,-75.20515441894531,03 01,03 01 driving,driving,03,01,2
39.955177307128906,-75.20494079589844,03 01,03 01 driving,driving,03,01,3
39.95594024658203,-75.20478057861328,03 01,03 01 driving,driving,03,01,4
39.95589828491211,-75.2044677734375,03 01,03 01 driving,driving,03,01,5
39.955657958984375,-75.20250701904297,03 01,03 01 driving,driving,03,01,6
39.95560836791992,-75.20208740234375,03 01,03 01 driving,driving,03,01,7
39.955509185791016,-75.20127868652344,03 01,03 01 driving,driving,03,01,8
39.95549011230469,-75.20101165771484,03 01,03 01 driving,driving,03,01,9
39.955257415771484,-75.19921875,03 01,03 01 driving,driving,03,01,10
39.95515060424805,-75.19829559326172,03 01,03 01 driving,driving,03,01,11
39.954917907714844,-75.19645690917969,03 01,03 01 driving,driving,03,01,12
39.95452880859375,-75.19654083251953,03 01,03 01 driving,driving,03,01,13
39.95200729370117,-75.20560455322266,04 01,04 01 driving,driving,04,01,1
39.95206832885742,-75.2055892944336,04 01,04 01 driving,driving,04,01,2
39.95174026489258,-75.20295715332031,04 01,04 01 driving,driving,04,01,3
