lat,lon,loc_pair,route,type,intersection,centroid,ord,lat2,lon2,dist
39.955299377441406,-75.20491027832031,01 01,01 01 driving,driving,01,01,1,39.95594024658203,-75.20478057861328,0.04480944062465863
39.95594024658203,-75.20478057861328,01 01,01 01 driving,driving,01,01,2,39.95589828491211,-75.2044677734375,0.016818787372707863
39.95589828491211,-75.2044677734375,01 01,01 01 driving,driving,01,01,3,39.955657958984375,-75.20250701904297,0.10516625055979974
39.955657958984375,-75.20250701904297,01 01,01 01 driving,driving,01,01,4,39.95560836791992,-75.20208740234375,0.022486714085255977
39.95560836791992,-75.20208740234375,01 01,01 01 driving,driving,01,01,5,39.955509185791016,-75.20127868652344,0.04337674681894369
39.955509185791016,-75.20127868652344,01 01,01 01 driving,driving,01,01,6,39.95549011230469,-75.20101165771484,0.01420392435999843
39.95549011230469,-75.20101165771484,01 01,01 01 driving,driving,01,01,7,39.955387115478516,-75.200164794921875,0.04541350796425433
39.955387115478516,-75.200164794921875,01 01,01 01 driving,driving,01,01,8,39.955169677734375,-75.19844818115234,0.09215027996087359
39.955169677734375,-75.19844818115234,01 01,01 01 driving,driving,01,01,9,39.954917907714844,-75.19645690917969,0.10688952980195479
39.954917907714844,-75.19645690917969,01 01,01 01 driving,driving,01,01,10,39.95452880859375,-75.19654083251953,0.02724912232828951
39.95452880859375,-75.19654083251953,01 01,01 01 driving,driving,01,01,11,39.95452880859375,-75.19654083251953,0
39.95446014404297,-75.205078125,02 01,02 01 driving,driving,02,01,1,39.95594024658203,-75.20478057861328,0.1034723139898771
39.95594024658203,-75.20478057861328,02 01,02 01 driving,driving,02,01,2,39.9556999206543,-75.202850341796875,0.10357048024606799
39.9556999206543,-75.202850341796875,02 01,02 01 driving,driving,02,01,3,39.95563888549805,-75.20225524902344,0.03179871853508063
39.95563888549805,-75.20225524902344,02 01,02 01 driving,driving,02,01,4,39.95555877685547,-75.20169830322266,0.030012302862727266
39.95555877685547,-75.20169830322266,02 01,02 01 driving,driving,02,01,5,39.95549011230469,-75.20112609863281,0.030674784023169834
39.95549011230469,-75.20112609863281,02 01,02 01 driving,driving,02,01,6,39.955448150634766,-75.20069885253906,0.02281324084954801
39.955448150634766,-75.20069885253906,02 01,02 01 driving,driving,02,01,7,39.955230712890625,-75.19898986816406,0.0917515529865194
39.955230712890625,-75.19898986816406,02 01,02 01 driving,driving,02,01,8,39.95507049560547,-75.19771575927734,0.06838297887565163
39.95507049560547,-75.19771575927734,02 01,02 01 driving,driving,02,01,9,39.954917907714844,-75.19645690917969,0.06750142163797423
39.954917907714844,-75.19645690917969,02 01,02 01 driving,driving,02,01,10,39.95481872558594,-75.19647979736328,0.006959217567992265
39.95481872558594,-75.19647979736328,02 01,02 01 driving,driving,02,01,11,39.95452880859375,-75.19654083251953,0.020290494306641985
39.95452880859375,-75.19654083251953,02 01,02 01 driving,driving,02,01,12,39.95452880859375,-75.19654083251953,0
39.95323944091797,-75.20533752441406,03 01,03 01 driving,driving,03,01,1,39.95410919189453,-75.20515441894531,0.06087150549832175
39.95410919189453,-75.20515441894531,03 01,03 01 driving,driving,03,01,2,39.955177307128906,-75.20494079589844,0.07466189594565727
39.955177307128906,-75.20494079589844,03 01,03 01 driving,driving,03,01,3,39.95594024658203,-75.20478057861328,0.05339263603852352
39.95594024658203,-75.20478057861328,03 01,03 01 driving,driving,03,01,4,39.95589828491211,-75.2044677734375,0.016818787372707863
39.95589828491211,-75.2044677734375,03 01,03 01 driving,driving,03,01,5,39.955657958984375,-75.20250701904297,0.10516625055979974
39.955657958984375,-75.20250701904297,03 01,03 01 driving,driving,03,01,6,39.95560836791992,-75.20208740234375,0.022486714085255977
39.95560836791992,-75.20208740234375,03 01,03 01 driving,driving,03,01,7,39.955509185791016,-75.20127868652344,0.04337674681894369
39.955509185791016,-75.20127868652344,03 01,03 01 driving,driving,03,01,8,39.95549011230469,-75.20101165771484,0.01420392435999843
39.95549011230469,-75.20101165771484,03 01,03 01 driving,driving,03,01,9,39.955257415771484,-75.19921875,0.09630949601730689
39.955257415771484,-75.19921875,03 01,03 01 driving,driving,03,01,10,39.95515060424805,-75.19829559326172,0.04944722448626714
39.95515060424805,-75.19829559326172,03 01,03 01 driving,driving,03,01,11,39.954917907714844,-75.19645690917969,0.0987012409631257
39.954917907714844,-75.19645690917969,03 01,03 01 driving,driving,03,01,12,39.95452880859375,-75.19654083251953,0.02724912232828951
39.95452880859375,-75.19654083251953,03 01,03 01 driving,driving,03,01,13,39.95452880859375,-75.19654083251953,0
39.95200729370117,-75.20560455322266,04 01,04 01 driving,driving,04,01,1,39.95206832885742,-75.2055892944336,0.00429386693332136
39.95206832885742,-75.2055892944336,04 01,04 01 driving,driving,04,01,2,39.95174026489258,-75.20295715332031,0.14124419475193375
39.95174026489258,-75.20295715332031,04 01,04 01 driving,driving,04,01,3,39.951507568359375,-75.20115661621094,0.09671308162918381
39.951507568359375,-75.20115661621094,04 01,04 01 driving,driving,04,01,4,39.951290130615234,-75.19927978515625,0.10053746407922233
39.951290130615234,-75.19927978515625,04 01,04 01 driving,driving,04,01,5,39.95126724243164,-75.19915008544922,0.0070493876575650535
39.95126724243164,-75.19915008544922,04 01,04 01 driving,driving,04,01,6,39.95212936401367,-75.19896697998047,0.060351201922468914
39.95212936401367,-75.19896697998047,04 01,04 01 driving,driving,04,01,7,39.952537536621094,-75.19889068603516,0.028490037406065927
39.952537536621094,-75.19889068603516,04 01,04 01 driving,driving,04,01,8,39.95402908325195,-75.19852447509766,0.10486533110711134
